score,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8
0.45248696,0,0,0,0,0,0,0,0
0.59846044,0,0,0,0,0,0,0,1
0.59891361,0,0,0,0,0,0,0,2
0.78267139,0,0,0,0,0,0,0,3
0.59805137,0,0,0,0,0,0,1,0
0.67425513,0,0,0,0,0,0,1,1
0.71520001,0,0,0,0,0,0,1,2
0.90518969,0,0,0,0,0,0,1,3
0.5975399,0,0,0,0,0,0,2,0
0.71692115,0,0,0,0,0,0,2,1
0.67461622,0,0,0,0,0,0,2,2
0.90606636,0,0,0,0,0,0,2,3
0.78305143,0,0,0,0,0,0,3,0
0.90639251,0,0,0,0,0,0,3,1
0.90595847,0,0,0,0,0,0,3,2
1.0353847,0,0,0,0,0,0,3,3
0.59882474,0,0,0,0,0,1,0,0
0.72954708,0,0,0,0,0,1,0,1
0.73984081,0,0,0,0,0,1,0,2
0.97391689,0,0,0,0,0,1,0,3
0.67604464,0,0,0,0,0,1,1,0
0.71433616,0,0,0,0,0,1,1,1
0.83467704,0,0,0,0,0,1,1,2
0.99467379,0,0,0,0,0,1,1,3
0.71734881,0,0,0,0,0,1,2,0
0.83167934,0,0,0,0,0,1,2,1
0.83280855,0,0,0,0,0,1,2,2
1.047307,0,0,0,0,0,1,2,3
0.90677059,0,0,0,0,0,1,3,0
0.86930496,0,0,0,0,0,1,3,1
0.87961823,0,0,0,0,0,1,3,2
1.0472713,0,0,0,0,0,1,3,3
0.59738952,0,0,0,0,0,2,0,0
0.74030852,0,0,0,0,0,2,0,1
0.72957468,0,0,0,0,0,2,0,2
0.97459167,0,0,0,0,0,2,0,3
0.7165733,0,0,0,0,0,2,1,0
0.8337031,0,0,0,0,0,2,1,1
0.83123577,0,0,0,0,0,2,1,2
1.0498563,0,0,0,0,0,2,1,3
0.6748392,0,0,0,0,0,2,2,0
0.83475947,0,0,0,0,0,2,2,1
0.71074045,0,0,0,0,0,2,2,2
0.99564785,0,0,0,0,0,2,2,3
0.90618753,0,0,0,0,0,2,3,0
0.88043427,0,0,0,0,0,2,3,1
0.86871034,0,0,0,0,0,2,3,2
1.0459174,0,0,0,0,0,2,3,3
0.7829873,0,0,0,0,0,3,0,0
0.97648871,0,0,0,0,0,3,0,1
0.97469455,0,0,0,0,0,3,0,2
1.1536572,0,0,0,0,0,3,0,3
0.90526474,0,0,0,0,0,3,1,0
0.9955765,0,0,0,0,0,3,1,1
1.0478535,0,0,0,0,0,3,1,2
1.1300151,0,0,0,0,0,3,1,3
0.90619123,0,0,0,0,0,3,2,0
1.0471971,0,0,0,0,0,3,2,1
0.99285847,0,0,0,0,0,3,2,2
1.1303989,0,0,0,0,0,3,2,3
1.0363661,0,0,0,0,0,3,3,0
1.0481666,0,0,0,0,0,3,3,1
1.0479361,0,0,0,0,0,3,3,2
1.0776695,0,0,0,0,0,3,3,3
0.59819049,0,0,0,0,1,0,0,0
0.68101782,0,0,0,0,1,0,0,1
0.74201572,0,0,0,0,1,0,0,2
0.91383839,0,0,0,0,1,0,0,3
0.73015285,0,0,0,0,1,0,1,0
0.78748244,0,0,0,0,1,0,1,1
0.9032228,0,0,0,0,1,0,1,2
1.0469232,0,0,0,0,1,0,1,3
0.73911071,0,0,0,0,1,0,2,0
0.87417287,0,0,0,0,1,0,2,1
0.88953078,0,0,0,0,1,0,2,2
1.1073747,0,0,0,0,1,0,2,3
0.97487539,0,0,0,0,1,0,3,0
1.0693606,0,0,0,0,1,0,3,1
1.1021583,0,0,0,0,1,0,3,2
1.2568082,0,0,0,0,1,0,3,3
0.67613256,0,0,0,0,1,1,0,0
0.78793055,0,0,0,0,1,1,0,1
0.89002186,0,0,0,0,1,1,0,2
1.095733,0,0,0,0,1,1,0,3
0.71432978,0,0,0,0,1,1,1,0
0.70294738,0,0,0,0,1,1,1,1
0.89995939,0,0,0,0,1,1,1,2
1.0028609,0,0,0,0,1,1,1,3
0.83519423,0,0,0,0,1,1,2,0
0.93079919,0,0,0,0,1,1,2,1
0.89011627,0,0,0,0,1,1,2,2
1.1538672,0,0,0,0,1,1,2,3
0.99425519,0,0,0,0,1,1,3,0
0.95016819,0,0,0,0,1,1,3,1
1.0088737,0,0,0,0,1,1,3,2
0.81017631,0,0,0,0,1,1,3,3
0.71563989,0,0,0,0,1,2,0,0
0.87574375,0,0,0,0,1,2,0,1
0.89759129,0,0,0,0,1,2,0,2
1.1134664,0,0,0,0,1,2,0,3
0.83100671,0,0,0,0,1,2,1,0
0.92759901,0,0,0,0,1,2,1,1
0.91846746,0,0,0,0,1,2,1,2
1.1171328,0,0,0,0,1,2,1,3
0.83302444,0,0,0,0,1,2,2,0
0.86466688,0,0,0,0,1,2,2,1
0.90098017,0,0,0,0,1,2,2,2
1.1029975,0,0,0,0,1,2,2,3
1.0514216,0,0,0,0,1,2,3,0
1.0185212,0,0,0,0,1,2,3,1
1.0404465,0,0,0,0,1,2,3,2
1.1770151,0,0,0,0,1,2,3,3
0.90566343,0,0,0,0,1,3,0,0
1.0687102,0,0,0,0,1,3,0,1
1.1045253,0,0,0,0,1,3,0,2
1.3076571,0,0,0,0,1,3,0,3
0.8683241,0,0,0,0,1,3,1,0
