1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
2,0.8060317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.93469244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.98970199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0.92076498,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1.0485564,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1.0224303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8,0.94878995,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9,1.1820627,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,1.0401065,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1.0962458,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12,1.0345803,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,1.0300568,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
14,1.0213201,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,1.0399171,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
16,1.2498295,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
17,1.2996949,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
18,0.98834729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,1.104123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,1.0246933,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21,1.0743556,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
22,1.0948362,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
23,0.99592942,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
24,1.0299588,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
25,1.0037775,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
26,1.0103778,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,1.0883129,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28,1.0631008,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
29,0.91521597,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
30,1.2338383,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
31,1.0200697,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
32,1.3645464,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
33,1.3215423,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
34,0.96763366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1.0370854,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,1.1153663,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1.1053214,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
38,1.1874797,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,1.0364709,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
40,1.1167337,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
41,1.3827909,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
42,1.0607946,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43,1.0951797,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
44,0.99230939,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
45,0.97717375,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
46,1.1164502,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
47,0.9912408,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
48,1.1126347,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
49,1.2636342,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
50,0.93365818,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
51,1.0197661,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
52,1.1668534,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
53,1.1860881,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
54,1.1895522,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
55,0.97467983,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
56,1.0148741,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
57,1.0016729,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
58,1.2328607,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
59,1.3337822,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
60,1.073205,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
61,1.0178918,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
62,1.3873596,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
63,1.2557911,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
64,1.3578558,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
65,1.3361011,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
66,0.95000035,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,1.0085416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
68,1.0281768,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,1.0272118,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
70,1.033548,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,1.0930932,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
72,1.1790843,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
73,1.2776912,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
74,1.2635523,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
75,1.1834273,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
76,1.1985416,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
77,1.0580245,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
78,1.1352111,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
79,1.0783063,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
80,1.4314282,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
81,1.4604319,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
