num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,ZT
0,0,0,0,0,0,0,1,0,0.8060317
1,0,0,0,0,0,0,1,1,0.93469244
1,0,0,0,1,0,0,1,1,0.98970199
0,1,0,0,0,0,0,1,2,0.92076498
1,0,0,0,0,1,0,1,1,1.0485564
2,0,0,0,1,0,0,1,2,1.0224303
0,1,0,0,1,0,0,1,2,0.94878995
0,0,1,0,0,0,0,1,3,1.1820627
1,0,0,0,0,0,1,1,1,1.0401065
2,0,0,0,0,1,0,1,2,1.0962458
2,0,0,0,2,0,0,1,2,1.0345803
1,1,0,0,1,0,0,1,3,1.0300568
0,1,0,0,0,1,0,1,2,1.0213201
1,1,0,0,1,0,0,1,3,1.0399171
0,0,1,0,1,0,0,1,3,1.2498295
0,0,0,1,0,0,0,1,4,1.2996949
1,0,0,0,0,0,0,2,1,0.98834729
2,0,0,0,0,0,1,1,2,1.104123
2,0,0,0,1,1,0,1,2,1.0246933
1,1,0,0,0,1,0,1,3,1.0743556
2,0,0,0,1,1,0,1,2,1.0948362
3,0,0,0,2,0,0,1,3,0.99592942
1,1,0,0,2,0,0,1,3,1.0299588
1,0,1,0,1,0,0,1,4,1.0037775
0,1,0,0,0,0,1,1,2,1.0103778
1,1,0,0,0,1,0,1,3,1.0883129
1,1,0,0,2,0,0,1,3,1.0631008
0,2,0,0,1,0,0,1,4,0.91521597
0,0,1,0,0,1,0,1,3,1.2338383
1,0,1,0,1,0,0,1,4,1.0200697
0,0,0,1,1,0,0,1,4,1.3645464
0,0,0,1,0,0,0,1,5,1.3215423
1,0,0,0,0,0,0,2,1,0.96763366
2,0,0,0,0,0,0,2,2,1.0370854
2,0,0,0,1,0,1,1,2,1.1153663
1,1,0,0,0,0,1,1,3,1.1053214
2,0,0,0,0,2,0,1,2,1.1874797
3,0,0,0,1,1,0,1,3,1.0364709
1,1,0,0,1,1,0,1,3,1.1167337
1,0,1,0,0,1,0,1,4,1.3827909
2,0,0,0,1,0,1,1,2,1.0607946
3,0,0,0,1,1,0,1,3,1.0951797
3,0,0,0,3,0,0,1,3,0.99230939
2,1,0,0,2,0,0,1,4,0.97717375
1,1,0,0,1,1,0,1,3,1.1164502
2,1,0,0,2,0,0,1,4,0.9912408
1,0,1,0,2,0,0,1,4,1.1126347
1,0,0,1,1,0,0,1,5,1.2636342
0,1,0,0,0,0,0,2,2,0.93365818
1,1,0,0,0,0,1,1,3,1.0197661
1,1,0,0,1,1,0,1,3,1.1668534
0,2,0,0,0,1,0,1,4,1.1860881
1,1,0,0,1,1,0,1,3,1.1895522
2,1,0,0,2,0,0,1,4,0.97467983
0,2,0,0,2,0,0,1,4,1.0148741
0,1,1,0,1,0,0,1,5,1.0016729
0,0,1,0,0,0,1,1,3,1.2328607
1,0,1,0,0,1,0,1,4,1.3337822
1,0,1,0,2,0,0,1,4,1.073205
0,1,1,0,1,0,0,1,5,1.0178918
0,0,0,1,0,1,0,1,4,1.3873596
