1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
2,1.3030154,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0
3,1.7403015,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1
4,1.8630462,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
5,1.6670858,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1
6,2.0491927,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
7,1.7045835,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1
8,1.3832319,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
9,1.5192242,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
10,0.8888073,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
11,1.7997589,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0
12,1.7050767,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1
13,1.1939045,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1
14,1.8513665,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
15,1.4114578,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
16,1.6779945,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0
17,1.6326784,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1
18,1.4188433,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
19,1.4650302,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
20,1.7016984,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1
21,1.2584096,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
22,1.6990049,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0
23,1.0733335,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
24,1.5315676,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
25,1.8156543,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1
26,1.7709203,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1
27,1.5275383,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1
28,1.8015299,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1
29,1.3380226,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1
30,1.8045758,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1
31,1.4447801,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0
32,1.7880303,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1
33,1.3156308,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1
34,1.7056173,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1
35,1.7996339,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1
36,1.6668791,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
37,1.1705282,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
38,1.8075904,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
39,1.5901389,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
40,1.8984982,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1
41,1.3716058,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
42,1.4709233,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1
43,1.5600072,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
44,1.6645308,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
45,1.6986183,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1
46,1.4364406,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
47,1.3526655,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1
48,1.4213436,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
49,2.0779853,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0
50,2.0335565,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1
51,1.8718575,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1
52,1.4077073,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
