num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,T=300k
0,2,1,0,1,2,1,0,7,1.3030154
1,1,2,0,2,2,0,0,9,1.7403015
1,2,1,0,1,3,0,0,8,1.8630462
2,1,2,0,5,0,0,0,10,1.6670858
3,1,1,0,3,0,0,1,8,2.0491927
2,2,0,0,2,1,0,1,6,1.7045835
3,0,0,1,3,0,1,0,9,1.3832319
2,1,0,1,4,0,1,0,8,1.5192242
0,0,0,1,0,0,2,0,9,0.8888073
2,1,1,0,3,1,1,0,7,1.7997589
1,2,0,1,2,2,0,0,9,1.7050767
2,0,0,1,0,1,1,1,6,1.1939045
4,1,0,0,2,2,1,0,6,1.8513665
0,1,0,2,1,0,0,1,10,1.4114578
1,2,1,0,4,0,1,0,8,1.6779945
2,2,1,0,2,2,0,0,9,1.6326784
2,0,0,1,1,1,0,1,6,1.4188433
1,0,2,0,1,2,1,0,7,1.4650302
3,0,2,0,4,1,0,0,9,1.7016984
3,0,0,0,1,1,0,2,3,1.2584096
2,0,1,1,4,1,0,0,9,1.6990049
3,0,0,0,1,0,0,2,3,1.0733335
3,1,0,0,2,0,1,1,5,1.5315676
2,2,0,0,3,0,0,1,6,1.8156543
2,1,1,0,1,2,1,0,7,1.7709203
1,1,0,1,1,1,0,1,7,1.5275383
4,0,0,1,3,2,0,0,8,1.8015299
1,0,1,1,1,1,1,0,9,1.3380226
3,1,0,1,4,1,0,0,9,1.8045758
2,1,0,1,3,2,0,0,8,1.4447801
2,2,0,1,5,0,0,0,10,1.7880303
3,0,1,0,1,1,2,0,6,1.3156308
1,0,2,1,2,1,0,0,11,1.7056173
4,0,1,0,3,1,1,0,7,1.7996339
1,1,1,1,5,0,0,0,10,1.6668791
1,0,1,0,0,2,0,1,4,1.1705282
4,1,0,0,3,1,0,1,6,1.8075904
0,1,1,1,2,0,0,1,9,1.5901389
3,2,0,0,2,3,0,0,7,1.8984982
2,2,0,0,0,1,1,1,6,1.3716058
1,1,0,1,1,1,0,1,7,1.4709233
2,1,0,1,2,1,1,0,8,1.5600072
2,2,0,0,3,0,2,0,6,1.6645308
1,1,1,0,1,0,0,2,6,1.6986183
2,0,0,1,1,2,1,0,7,1.4364406
1,1,1,0,0,1,1,1,6,1.3526655
3,1,0,0,2,0,0,2,5,1.4213436
2,1,1,0,2,3,0,0,7,2.0779853
5,1,0,0,3,1,1,0,7,2.0335565
3,0,2,0,4,1,0,0,9,1.8718575
1,2,0,0,1,1,0,1,5,1.4077073
1,1,2,0,2,2,0,0,9,1.6410151
1,1,0,1,2,0,0,1,7,1.5370984
0,1,0,1,1,1,0,1,8,1.1378931
2,1,1,0,2,0,2,0,7,1.3963546
0,1,0,2,0,2,0,0,11,1.4239775
3,0,0,0,0,2,1,1,3,1.0571376
2,1,0,1,2,2,0,0,9,1.7572718
1,0,1,1,1,0,0,1,8,1.5295402
1,2,1,0,2,1,1,0,8,1.5594701
0,3,0,1,2,1,0,0,11,1.6453331
2,0,0,0,1,0,1,1,2,1.1460721
2,1,1,0,2,0,2,0,7,1.5422724
3,0,2,0,2,2,0,0,9,1.8348333
5,0,0,0,4,1,0,1,5,1.5024513
0,2,2,0,3,1,0,0,10,1.795431
3,0,0,1,2,1,1,0,8,1.446124
2,0,2,0,2,1,1,0,8,1.5644863
1,2,0,1,3,0,1,0,9,1.5004349
0,1,0,1,1,1,1,0,9,1.1192875
3,0,0,0,1,0,2,1,3,0.96750289
1,0,1,0,0,1,0,2,4,1.2020822
2,0,1,1,1,2,0,0,10,1.6934687
2,0,1,1,4,1,0,0,9,1.6733179
3,1,0,1,6,0,0,0,9,1.6375431
2,2,0,1,5,0,0,0,10,1.7860436
1,1,1,1,2,1,0,0,11,1.7451328
1,0,0,1,0,0,0,2,5,1.1470625
1,2,0,1,4,1,0,0,9,1.7676381
4,0,0,1,3,2,0,0,8,1.7473372
1,2,0,0,0,1,1,1,5,1.2848115
2,0,0,1,0,2,1,0,8,1.178316
0,2,0,2,3,0,0,0,12,1.7066211
2,2,0,0,2,2,1,0,6,1.5966108
3,1,0,1,4,1,0,0,9,1.9435917
2,2,0,0,3,0,0,1,6,1.8512646
1,3,0,0,3,0,0,1,7,1.7770706
1,1,1,0,0,2,0,1,6,1.4882069
0,0,1,1,0,0,1,1,8,1.0410615
1,2,0,1,3,0,1,0,9,1.7062204
2,1,0,1,3,1,0,0,10,1.3490787
3,1,0,0,1,3,1,0,5,1.6376953
2,0,2,0,4,0,1,0,8,1.661146
1,3,0,0,1,1,0,1,7,1.8056395
3,2,0,0,3,1,1,0,7,1.8403527
2,0,1,1,2,1,0,0,11,1.5068918
